fid,row_index,col_index,経度,緯度,park_name
1,47,10,139.260528933057,35.6595625256776,八王子霊園
2,46,11,139.260748530582,35.6597438421067,八王子霊園
3,47,11,139.260749817475,35.6595635761218,八王子霊園
4,45,12,139.260968129099,35.6599251581391,八王子霊園
5,46,12,139.260969415507,35.6597448921528,八王子霊園
6,47,12,139.260970701904,35.659564626161,八王子霊園
7,43,13,139.261186442674,35.6602867397573,八王子霊園
8,44,13,139.261187728609,35.6601064737749,八王子霊園
9,45,13,139.261189014532,35.6599262077871,八王子霊園
10,46,13,139.261190300444,35.6597459417937,八王子霊園
11,42,14,139.261406043662,35.6604680549978,八王子霊園
12,43,14,139.261407329112,35.6602877890139,八王子霊園
13,44,14,139.26140861455,35.6601075230246,八王子霊園
14,45,14,139.261409899977,35.6599272570298,八王子霊園
15,46,14,139.261411185392,35.6597469910296,八王子霊園
16,47,14,139.261412470796,35.6595667250239,八王子霊園
17,48,14,139.261413756189,35.6593864590128,八王子霊園
18,49,14,139.26141504157,35.6592061929962,八王子霊園
19,40,15,139.261624360666,35.6608296358215,八王子霊園
20,42,15,139.261626930607,35.6604691038563,八王子霊園
21,43,15,139.26162821556,35.6602888378654,八王子霊園
22,44,15,139.261629500502,35.6601085718692,八王子霊園
23,45,15,139.261630785433,35.6599283058675,八王子霊園
24,46,15,139.261632070352,35.6597480398603,八王子霊園
25,47,15,139.261633355259,35.6595677738477,八王子霊園
26,48,15,139.261634640156,35.6593875078297,八王子霊園
27,49,15,139.26163592504,35.6592072418062,八王子霊園
28,50,15,139.261637209914,35.6590269757773,八王子霊園
29,40,16,139.261845248616,35.6608306842887,八王子霊園
30,41,16,139.261846533095,35.6606504183019,八王子霊園
31,42,16,139.261847817564,35.6604701523096,八王子霊園
32,43,16,139.261849102021,35.6602898863118,八王子霊園
33,44,16,139.261850386466,35.6601096203087,八王子霊園
34,45,16,139.2618516709,35.6599293543,八王子霊園
35,46,16,139.261852955323,35.659749088286,八王子霊園
36,47,16,139.261854239734,35.6595688222664,八王子霊園
37,48,16,139.261855524134,35.6593885562415,八王子霊園
38,49,16,139.261856808522,35.6592082902111,八王子霊園
39,50,16,139.261858092899,35.6590280241752,八王子霊園
40,37,17,139.262062284558,35.6613725302993,八王子霊園
41,40,17,139.262066136577,35.6608317323507,八王子霊園
42,41,17,139.26206742056,35.660651466357,八王子霊園
43,42,17,139.262068704532,35.6604712003578,八王子霊園
44,43,17,139.262069988492,35.6602909343531,八王子霊園
45,44,17,139.262071272441,35.660110668343,八王子霊園
46,45,17,139.262072556379,35.6599304023275,八王子霊園
47,46,17,139.262073840305,35.6597501363065,八王子霊園
48,47,17,139.26207512422,35.65956987028,八王子霊園
