fid,row_index,col_index,経度,緯度,park_name
1,25,5,139.361141139721,35.6052804851681,小山内裏公園
2,26,5,139.361142198861,35.6051002146616,小山内裏公園
3,24,6,139.361360819745,35.6054616204434,小山内裏公園
4,25,6,139.361361878399,35.6052813499366,小山内裏公園
5,26,6,139.361362937044,35.6051010794245,小山内裏公園
6,27,6,139.361363995679,35.6049208089069,小山内裏公園
7,28,6,139.361365054305,35.6047405383839,小山内裏公園
8,29,6,139.361366112921,35.6045602678554,小山内裏公園
9,30,6,139.361367171528,35.6043799973216,小山内裏公園
10,31,6,139.361368230126,35.6041997267822,小山内裏公園
11,32,6,139.361369288714,35.6040194562375,小山内裏公園
12,33,6,139.361370347292,35.6038391856873,小山内裏公園
13,24,7,139.361581558928,35.6054624848133,小山内裏公園
14,25,7,139.361582617087,35.6052822143008,小山内裏公園
15,26,7,139.361583675236,35.605101943783,小山内裏公園
16,27,7,139.361584733376,35.6049216732597,小山内裏公園
17,28,7,139.361585791507,35.604741402731,小山内裏公園
18,29,7,139.361586849628,35.6045611321968,小山内裏公園
19,30,7,139.36158790774,35.6043808616572,小山内裏公園
20,31,7,139.361588965843,35.6042005911122,小山内裏公園
21,32,7,139.361590023936,35.6040203205618,小山内裏公園
22,33,7,139.36159108202,35.6038400500059,小山内裏公園
23,23,8,139.361801240447,35.6056436192916,小山内裏公園
24,24,8,139.36180229812,35.6054633487789,小山内裏公園
25,25,8,139.361803355784,35.6052830782607,小山内裏公園
26,26,8,139.361804413438,35.6051028077372,小山内裏公園
27,27,8,139.361805471083,35.6049225372082,小山内裏公園
28,28,8,139.361806528719,35.6047422666737,小山内裏公園
29,29,8,139.361807586345,35.6045619961339,小山内裏公園
30,30,8,139.361808643962,35.6043817255886,小山内裏公園
31,31,8,139.361809701569,35.6042014550378,小山内裏公園
32,32,8,139.361810759167,35.6040211844817,小山内裏公園
33,33,8,139.361811816756,35.6038409139201,小山内裏公園
34,22,9,139.362020922956,35.6058247533716,小山内裏公園
35,23,9,139.362021980143,35.6056444828586,小山内裏公園
36,24,9,139.362023037321,35.6054642123402,小山内裏公園
37,25,9,139.36202409449,35.6052839418163,小山内裏公園
38,26,9,139.362025151649,35.605103671287,小山内裏公園
39,27,9,139.362026208799,35.6049234007523,小山内裏公園
40,28,9,139.36202726594,35.6047431302122,小山内裏公園
41,29,9,139.362028323071,35.6045628596666,小山内裏公園
42,30,9,139.362029380193,35.6043825891156,小山内裏公園
43,31,9,139.362030437305,35.6042023185592,小山内裏公園
44,32,9,139.362031494408,35.6040220479973,小山内裏公園
45,33,9,139.362032551502,35.60384177743,小山内裏公園
46,20,10,139.362239549744,35.606186157561,小山内裏公園
47,21,10,139.362240606455,35.6060058870532,小山内裏公園
48,22,10,139.362241663157,35.6058256165399,小山内裏公園
49,23,10,139.362242719849,35.6056453460212,小山内裏公園
50,24,10,139.362243776532,35.6054650754971,小山内裏公園
51,25,10,139.362244833206,35.6052848049675,小山内裏公園
52,26,10,139.36224588987,35.6051045344326,小山内裏公園
53,27,10,139.362246946525,35.6049242638922,小山内裏公園
