fid,row_index,col_index,経度,緯度,park_name
1,75,29,139.413179007784,35.5969228950592,小山田緑地
2,76,29,139.413179949913,35.5967426230234,小山田緑地
3,77,29,139.413180892034,35.5965623509823,小山田緑地
4,78,29,139.413181834147,35.5963820789357,小山田緑地
5,79,29,139.413182776252,35.5962018068837,小山田緑地
6,80,29,139.413183718348,35.5960215348262,小山田緑地
7,81,29,139.413184660436,35.5958412627634,小山田緑地
8,74,30,139.413398783434,35.5971039363853,小山田緑地
9,75,30,139.413399725077,35.5969236643499,小山田緑地
10,76,30,139.413400666712,35.5967433923091,小山田緑地
11,77,30,139.413401608338,35.5965631202628,小山田緑地
12,78,30,139.413402549956,35.5963828482112,小山田緑地
13,79,30,139.413403491566,35.5962025761541,小山田緑地
14,80,30,139.413404433167,35.5960223040915,小山田緑地
15,81,30,139.41340537476,35.5958420320236,小山田緑地
16,82,30,139.413406316345,35.5956617599503,小山田緑地
17,74,31,139.413619501232,35.5971047052768,小山田緑地
18,75,31,139.41362044238,35.5969244332364,小山田緑地
19,76,31,139.41362138352,35.5967441611905,小山田緑地
20,77,31,139.413622324651,35.5965638891392,小山田緑地
21,78,31,139.413623265774,35.5963836170824,小山田緑地
22,79,31,139.413624206889,35.5962033450202,小山田緑地
23,80,31,139.413625147995,35.5960230729527,小山田緑地
24,81,31,139.413626089093,35.5958428008796,小山田緑地
25,82,31,139.413627030183,35.5956625288012,小山田緑地
26,83,31,139.413627971264,35.5954822567173,小山田緑地
27,74,32,139.413840219037,35.5971054737642,小山田緑地
28,75,32,139.41384115969,35.5969252017187,小山田緑地
29,76,32,139.413842100335,35.5967449296677,小山田緑地
30,77,32,139.413843040972,35.5965646576113,小山田緑地
31,78,32,139.4138439816,35.5963843855495,小山田緑地
32,79,32,139.41384492222,35.5962041134822,小山田緑地
33,80,32,139.413845862831,35.5960238414095,小山田緑地
34,81,32,139.413846803435,35.5958435693315,小山田緑地
35,82,32,139.413847744029,35.5956632972479,小山田緑地
36,83,32,139.413848684616,35.595483025159,小山田緑地
37,75,33,139.414061877009,35.5969259697968,小山田緑地
38,76,33,139.414062817159,35.5967456977407,小山田緑地
39,77,33,139.414063757301,35.5965654256792,小山田緑地
40,78,33,139.414064697434,35.5963851536123,小山田緑地
41,79,33,139.414065637559,35.59620488154,小山田緑地
42,80,33,139.414066577676,35.5960246094623,小山田緑地
43,81,33,139.414067517784,35.5958443373791,小山田緑地
44,82,33,139.414068457884,35.5956640652905,小山田緑地
45,83,33,139.414069397976,35.5954837931965,小山田緑地
46,84,33,139.414070338059,35.595303521097,小山田緑地
47,76,34,139.414283533992,35.5967464654095,小山田緑地
48,77,34,139.414284473639,35.596566193343,小山田緑地
49,78,34,139.414285413277,35.596385921271,小山田緑地
50,79,34,139.414286352907,35.5962056491936,小山田緑地
51,80,34,139.414287292529,35.5960253771108,小山田緑地
52,81,34,139.414288232142,35.5958451050225,小山田緑地
53,82,34,139.414289171747,35.5956648329289,小山田緑地
54,83,34,139.414290111344,35.5954845608298,小山田緑地
55,84,34,139.414291050933,35.5953042887252,小山田緑地
56,72,35,139.414500494141,35.5974683209063,小山田緑地
57,73,35,139.414501433327,35.5972880488564,小山田緑地
58,76,35,139.414504250833,35.5967472326741,小山田緑地
59,77,35,139.414505189984,35.5965669606025,小山田緑地
60,78,35,139.414506129128,35.5963866885254,小山田緑地
61,79,35,139.414507068263,35.596206416443,小山田緑地
62,80,35,139.41450800739,35.5960261443551,小山田緑地
63,81,35,139.414508946509,35.5958458722618,小山田緑地
64,82,35,139.414509885619,35.595665600163,小山田緑地
65,84,35,139.414511763814,35.5953050559493,小山田緑地
66,71,36,139.414720274271,35.5976493598365,小山田緑地
67,72,36,139.41472121297,35.5974690877869,小山田緑地
68,73,36,139.414722151661,35.597288815732,小山田緑地
69,74,36,139.414723090343,35.5971085436715,小山田緑地
70,75,36,139.414724029016,35.5969282716057,小山田緑地
71,76,36,139.414724967682,35.5967479995345,小山田緑地
72,77,36,139.414725906339,35.5965677274578,小山田緑地
73,78,36,139.414726844987,35.5963874553757,小山田緑地
74,79,36,139.414727783628,35.5962071832881,小山田緑地
75,80,36,139.41472872226,35.5960269111952,小山田緑地
76,81,36,139.414729660883,35.5958466390968,小山田緑地
77,69,37,139.414939117171,35.5980106704109,小山田緑地
78,70,37,139.414940055391,35.5978303983672,小山田緑地
79,71,37,139.414940993603,35.597650126318,小山田緑地
80,72,37,139.414941931807,35.5974698542634,小山田緑地
81,73,37,139.414942870003,35.5972895822033,小山田緑地
82,74,37,139.41494380819,35.5971093101378,小山田緑地
83,75,37,139.414944746369,35.5969290380669,小山田緑地
84,76,37,139.414945684539,35.5967487659906,小山田緑地
85,77,37,139.414946622701,35.5965684939089,小山田緑地
86,78,37,139.414947560855,35.5963882218217,小山田緑地
87,79,37,139.414948499001,35.5962079497291,小山田緑地
88,80,37,139.414949437138,35.5960276776311,小山田緑地
89,81,37,139.414950375266,35.5958474055276,小山田緑地
90,69,38,139.415159837501,35.5980114364983,小山田緑地
91,70,38,139.415160775226,35.5978311644495,小山田緑地
92,71,38,139.415161712944,35.5976508923952,小山田緑地
93,72,38,139.415162650653,35.5974706203356,小山田緑地
94,73,38,139.415163588353,35.5972903482705,小山田緑地
95,74,38,139.415164526045,35.5971100761999,小山田緑地
96,75,38,139.415165463729,35.596929804124,小山田緑地
97,76,38,139.415166401405,35.5967495320426,小山田緑地
98,77,38,139.415167339072,35.5965692599558,小山田緑地
99,78,38,139.415168276731,35.5963889878635,小山田緑地
100,79,38,139.415169214382,35.5962087157659,小山田緑地
101,80,38,139.415170152024,35.5960284436628,小山田緑地
102,81,38,139.415171089658,35.5958481715543,小山田緑地
103,82,38,139.415172027284,35.5956678994404,小山田緑地
104,83,38,139.415172964901,35.595487627321,小山田緑地
105,65,39,139.415376808834,35.5987332903428,小山田緑地
106,69,39,139.415380557839,35.5980122021815,小山田緑地
107,70,39,139.41538149507,35.5978319301276,小山田緑地
108,71,39,139.415382432292,35.5976516580683,小山田緑地
109,72,39,139.415383369506,35.5974713860035,小山田緑地
110,73,39,139.415384306712,35.5972911139334,小山田緑地
111,74,39,139.415385243909,35.5971108418578,小山田緑地
112,75,39,139.415386181098,35.5969305697768,小山田緑地
113,76,39,139.415387118279,35.5967502976903,小山田緑地
114,77,39,139.415388055451,35.5965700255985,小山田緑地
115,78,39,139.415388992615,35.5963897535012,小山田緑地
116,79,39,139.415389929771,35.5962094813985,小山田緑地
117,80,39,139.415390866919,35.5960292092903,小山田緑地
118,81,39,139.415391804058,35.5958489371768,小山田緑地
119,82,39,139.415392741188,35.5956686650578,小山田緑地
120,83,39,139.415393678311,35.5954883929334,小山田緑地
121,65,40,139.41559753116,35.598734055642,小山田緑地
122,66,40,139.415598467929,35.5985537836047,小山田緑地
123,69,40,139.415601278186,35.5980129674604,小山田緑地
124,70,40,139.415602214922,35.5978326954015,小山田緑地
125,71,40,139.415603151649,35.5976524233371,小山田緑地
126,72,40,139.415604088368,35.5974721512673,小山田緑地
127,73,40,139.415605025079,35.5972918791921,小山田緑地
128,74,40,139.415605961781,35.5971116071115,小山田緑地
129,75,40,139.415606898476,35.5969313350254,小山田緑地
130,76,40,139.415607835161,35.5967510629339,小山田緑地
131,77,40,139.415608771839,35.5965707908369,小山田緑地
132,78,40,139.415609708508,35.5963905187346,小山田緑地
133,79,40,139.415610645169,35.5962102466268,小山田緑地
134,80,40,139.415611581821,35.5960299745136,小山田緑地
135,81,40,139.415612518466,35.595849702395,小山田緑地
136,82,40,139.415613455102,35.595669430271,小山田緑地
137,83,40,139.415614391729,35.5954891581415,小山田緑地
138,84,40,139.415615328348,35.5953088860066,小山田緑地
139,97,40,139.415627503642,35.5929653477592,小山田緑地
140,65,41,139.415818253495,35.5987348205369,小山田緑地
141,68,41,139.415821062292,35.5981940043937,小山田緑地
142,69,41,139.415821998541,35.5980137323351,小山田緑地
143,70,41,139.415822934782,35.5978334602711,小山田緑地
144,71,41,139.415823871014,35.5976531882017,小山田緑地
145,72,41,139.415824807239,35.5974729161269,小山田緑地
146,73,41,139.415825743454,35.5972926440466,小山田緑地
147,74,41,139.415826679662,35.5971123719609,小山田緑地
148,75,41,139.415827615861,35.5969320998698,小山田緑地
149,76,41,139.415828552052,35.5967518277732,小山田緑地
150,77,41,139.415829488235,35.5965715556712,小山田緑地
151,78,41,139.415830424409,35.5963912835638,小山田緑地
152,79,41,139.415831360575,35.596211011451,小山田緑地
153,80,41,139.415832296733,35.5960307393327,小山田緑地
154,81,41,139.415833232882,35.5958504672091,小山田緑地
155,82,41,139.415834169023,35.59567019508,小山田緑地
156,83,41,139.415835105156,35.5954899229455,小山田緑地
157,84,41,139.41583604128,35.5953096508055,小山田緑地
158,85,41,139.415836977396,35.5951293786601,小山田緑地
159,68,42,139.41604178315,35.5981947688692,小山田緑地
160,69,42,139.416042718904,35.5980144968056,小山田緑地
161,70,42,139.41604365465,35.5978342247366,小山田緑地
162,71,42,139.416044590388,35.5976539526621,小山田緑地
163,72,42,139.416045526117,35.5974736805822,小山田緑地
164,73,42,139.416046461838,35.5972934084969,小山田緑地
165,74,42,139.416047397551,35.5971131364061,小山田緑地
166,75,42,139.416048333255,35.5969328643099,小山田緑地
167,76,42,139.416049268951,35.5967525922083,小山田緑地
168,77,42,139.416050204639,35.5965723201013,小山田緑地
169,78,42,139.416051140318,35.5963920479888,小山田緑地
170,79,42,139.416052075989,35.596211775871,小山田緑地
171,80,42,139.416053011652,35.5960315037477,小山田緑地
172,81,42,139.416053947307,35.5958512316189,小山田緑地
173,82,42,139.416054882953,35.5956709594848,小山田緑地
174,83,42,139.416055818591,35.5954906873452,小山田緑地
