fid,row_index,col_index,経度,緯度,park_name
1,16,1,139.379100233718,35.6404007762094,平山城址公園
2,17,1,139.379101253894,35.6402205062978,平山城址公園
3,18,1,139.37910227406,35.6400402363808,平山城址公園
4,16,2,139.379321069499,35.6404016087878,平山城址公園
5,17,2,139.379322089179,35.6402213388707,平山城址公園
6,18,2,139.37932310885,35.6400410689482,平山城址公園
7,19,2,139.379324128511,35.6398607990203,平山城址公園
8,14,3,139.379539866894,35.6407629807902,平山城址公園
9,15,3,139.379540886096,35.6405827108785,平山城址公園
10,16,3,139.379541905289,35.6404024409614,平山城址公園
11,17,3,139.379542924473,35.6402221710388,平山城址公園
12,18,3,139.379543943648,35.6400419011108,平山城址公園
13,19,3,139.379544962814,35.6398616311773,平山城址公園
14,15,4,139.379761722391,35.6405835426527,平山城址公園
15,16,4,139.379762741088,35.6404032727301,平山城址公園
16,17,4,139.379763759776,35.640223002802,平山城址公園
17,18,4,139.379764778455,35.6400427328685,平山城址公園
18,19,4,139.379765797125,35.6398624629296,平山城址公園
19,20,4,139.379766815786,35.6396821929852,平山城址公園
20,21,4,139.379767834437,35.6395019230354,平山城址公園
21,13,5,139.379980522266,35.640944913862,平山城址公園
22,14,5,139.379981540486,35.6407646439447,平山城址公園
23,15,5,139.379982558696,35.640584374022,平山城址公園
24,16,5,139.379983576897,35.6404041040939,平山城址公園
25,17,5,139.379984595089,35.6402238341604,平山城址公園
26,18,5,139.379985613271,35.6400435642214,平山城址公園
27,19,5,139.379986631445,35.639863294277,平山城址公園
28,20,5,139.37998764961,35.6396830243271,平山城址公園
29,21,5,139.379988667766,35.6395027543718,平山城址公園
30,22,5,139.379989685913,35.6393224844111,平山城址公園
31,13,6,139.380201359572,35.6409457448375,平山城址公園
32,14,6,139.380202377295,35.6407654749147,平山城址公園
33,15,6,139.380203395009,35.6405852049865,平山城址公園
34,16,6,139.380204412714,35.6404049350529,平山城址公園
35,17,6,139.38020543041,35.6402246651139,平山城址公園
36,18,6,139.380206448097,35.6400443951694,平山城址公園
37,19,6,139.380207465775,35.6398641252195,平山城址公園
38,20,6,139.380208483444,35.6396838552642,平山城址公園
39,21,6,139.380209501104,35.6395035853034,平山城址公園
40,22,6,139.380210518754,35.6393233153372,平山城址公園
41,12,7,139.380421179649,35.6411268453309,平山城址公園
42,13,7,139.380422196886,35.6409465754081,平山城址公園
43,14,7,139.380423214113,35.6407663054799,平山城址公園
44,15,7,139.380424231331,35.6405860355462,平山城址公園
45,16,7,139.38042524854,35.6404057656071,平山城址公園
46,17,7,139.38042626574,35.6402254956626,平山城址公園
47,18,7,139.380427282931,35.6400452257126,平山城址公園
48,19,7,139.380428300113,35.6398649557572,平山城址公園
49,20,7,139.380429317286,35.6396846857964,平山城址公園
50,21,7,139.38043033445,35.6395044158301,平山城址公園
51,22,7,139.380431351605,35.6393241458584,平山城址公園
52,12,8,139.380642017469,35.6411276755021,平山城址公園
53,13,8,139.380643034209,35.6409474055738,平山城址公園
54,14,8,139.38064405094,35.6407671356401,平山城址公園
55,15,8,139.380645067662,35.640586865701,平山城址公園
56,16,8,139.380646084376,35.6404065957564,平山城址公園
57,17,8,139.38064710108,35.6402263258064,平山城址公園
58,18,8,139.380648117775,35.6400460558509,平山城址公園
59,19,8,139.380649134461,35.6398657858901,平山城址公園
60,20,8,139.380650151138,35.6396855159238,平山城址公園
61,21,8,139.380651167806,35.639505245952,平山城址公園
62,22,8,139.380652184465,35.6393249759749,平山城址公園
63,11,9,139.380861839043,35.6413087751968,平山城址公園
64,12,9,139.380862855297,35.6411285052685,平山城址公園
65,13,9,139.380863871541,35.6409482353347,平山城址公園
66,14,9,139.380864887776,35.6407679653955,平山城址公園
67,15,9,139.380865904003,35.6405876954509,平山城址公園
68,16,9,139.38086692022,35.6404074255009,平山城址公園
69,17,9,139.380867936428,35.6402271555454,平山城址公園
70,18,9,139.380868952627,35.6400468855844,平山城址公園
71,19,9,139.380869968817,35.6398666156181,平山城址公園
72,20,9,139.380870984999,35.6396863456463,平山城址公園
73,21,9,139.380872001171,35.6395060756691,平山城址公園
74,22,9,139.380873017334,35.6393258056864,平山城址公園
75,7,10,139.381078614257,35.6420306842448,平山城址公園
76,8,10,139.38107963005,35.6418504143327,平山城址公園
77,11,10,139.381082677377,35.6413096045638,平山城址公園
78,12,10,139.381083693134,35.64112933463,平山城址公園
79,13,10,139.381084708882,35.6409490646908,平山城址公園
80,14,10,139.381085724622,35.6407687947461,平山城址公園
81,15,10,139.381086740352,35.640588524796,平山城址公園
82,16,10,139.381087756073,35.6404082548405,平山城址公園
83,17,10,139.381088771786,35.6402279848795,平山城址公園
84,18,10,139.381089787489,35.6400477149131,平山城址公園
85,19,10,139.381090803183,35.6398674449413,平山城址公園
86,20,10,139.381091818868,35.639687174964,平山城址公園
87,21,10,139.381092834544,35.6395069049813,平山城址公園
88,7,11,139.381299454583,35.6420315132288,平山城址公園
89,8,11,139.381300469881,35.6418512433112,平山城址公園
90,9,11,139.381301485169,35.6416709733882,平山城址公園
91,10,11,139.381302500448,35.6414907034598,平山城址公園
92,11,11,139.381303515719,35.641310433526,平山城址公園
93,12,11,139.38130453098,35.6411301635867,平山城址公園
94,13,11,139.381305546233,35.640949893642,平山城址公園
95,14,11,139.381306561476,35.6407696236918,平山城址公園
96,15,11,139.38130757671,35.6405893537362,平山城址公園
97,16,11,139.381308591936,35.6404090837752,平山城址公園
98,17,11,139.381309607152,35.6402288138088,平山城址公園
99,18,11,139.381310622359,35.6400485438369,平山城址公園
100,19,11,139.381311637558,35.6398682738596,平山城址公園
101,20,11,139.381312652747,35.6396880038769,平山城址公園
102,21,11,139.381313667927,35.6395077338887,平山城址公園
103,7,12,139.381520294918,35.6420323418079,平山城址公園
104,8,12,139.38152130972,35.6418520718849,平山城址公園
105,9,12,139.381522324512,35.6416718019564,平山城址公園
106,10,12,139.381523339296,35.6414915320225,平山城址公園
107,11,12,139.38152435407,35.6413112620832,平山城址公園
108,12,12,139.381525368835,35.6411309921385,平山城址公園
109,13,12,139.381526383592,35.6409507221883,平山城址公園
110,14,12,139.381527398339,35.6407704522327,平山城址公園
111,15,12,139.381528413078,35.6405901822716,平山城址公園
112,16,12,139.381529427807,35.6404099123051,平山城址公園
113,17,12,139.381530442528,35.6402296423332,平山城址公園
114,18,12,139.381531457239,35.6400493723559,平山城址公園
