park_name,経度,緯度,標高,傾斜,傾斜方位
桜ヶ丘公園,139.4567753,35.63901103,80.41999817,12.11480427,158
桜ヶ丘公園,139.4567766,35.63874063,82.81999969,14.54733276,185
桜ヶ丘公園,139.4571003,35.64036411,75.31999969,6.60715723,86
桜ヶ丘公園,139.4571015,35.6400937,78.81999969,15.14845276,142
桜ヶ丘公園,139.4571028,35.63982329,80.91999817,6.307679653,161
桜ヶ丘公園,139.4571041,35.63955288,81.91999817,4.653460503,19
桜ヶ丘公園,139.4571053,35.63928248,82.51999664,7.330395699,10
桜ヶ丘公園,139.4571066,35.63901207,83.41999817,3.031943083,32
桜ヶ丘公園,139.4571079,35.63874166,87.12000275,9.588943481,100
桜ヶ丘公園,139.4571091,35.63847125,87.22000122,18.26471519,232
桜ヶ丘公園,139.4574302,35.64063555,72.41999817,11.29481506,96
桜ヶ丘公園,139.4574315,35.64036514,74.22000122,4.996497631,65
桜ヶ丘公園,139.4574328,35.64009473,80.81999969,12.38333797,78
桜ヶ丘公園,139.457434,35.63982433,81.31999969,1.089876056,121
桜ヶ丘公園,139.4574353,35.63955392,81.72000122,0.918602467,141
桜ヶ丘公園,139.4574366,35.63928351,81.91999817,1.153164029,150
桜ヶ丘公園,139.4574378,35.6390131,82.12000275,3.527443647,99
桜ヶ丘公園,139.4574391,35.6387427,86.31999969,9.74943161,69
桜ヶ丘公園,139.4574404,35.63847229,88.31999969,3.778050184,335
桜ヶ丘公園,139.4577615,35.64063658,71.62000275,3.599962711,88
桜ヶ丘公園,139.4577628,35.64036617,74.41999817,2.44266057,93
桜ヶ丘公園,139.457764,35.64009577,77.91999817,17.59220123,62
桜ヶ丘公園,139.4577653,35.63982536,80.81999969,0.551183283,39
桜ヶ丘公園,139.4577666,35.63955495,81.22000122,1.584485292,26
桜ヶ丘公園,139.4577678,35.63928454,81.51999664,1.153196573,30
桜ヶ丘公園,139.4577691,35.63901414,82.01999664,4.261273861,102
桜ヶ丘公園,139.4577704,35.63874373,84.31999969,4.766115665,39
桜ヶ丘公園,139.4577716,35.63847332,85.51999664,3.05826354,49
桜ヶ丘公園,139.4580953,35.6400968,75.51999664,2.340055466,127
桜ヶ丘公園,139.4580965,35.63982639,77.31999969,4.035519123,39
桜ヶ丘公園,139.4580978,35.63955598,78.62000275,4.314752102,49
桜ヶ丘公園,139.4580991,35.63928558,81.62000275,19.71196747,173
桜ヶ丘公園,139.4581003,35.63901517,83.12000275,6.307685375,161
桜ヶ丘公園,139.4581016,35.63874476,84.12000275,3.27507782,30
桜ヶ丘公園,139.4581029,35.63847435,85.01999664,2.522913456,47
桜ヶ丘公園,139.4581041,35.63820395,86.62000275,7.708683968,47
桜ヶ丘公園,139.4584253,35.64036824,78.62000275,3.570729971,174
桜ヶ丘公園,139.4584265,35.64009783,79.81999969,17.76894569,158
桜ヶ丘公園,139.4584278,35.63982742,81.91999817,1.089889288,239
桜ヶ丘公園,139.4584291,35.63955701,80.51999664,3.120421648,141
桜ヶ丘公園,139.4584303,35.63928661,87.31999969,13.1034441,119
桜ヶ丘公園,139.4584316,35.6390162,90.72000122,14.55323792,161
桜ヶ丘公園,139.4584329,35.63874579,86.91999817,18.932024,222
桜ヶ丘公園,139.4584341,35.63847538,87.22000122,7.878450394,162
桜ヶ丘公園,139.4584354,35.63820498,87.01999664,16.6666832,192
桜ヶ丘公園,139.4584366,35.63793457,86.62000275,2.988546133,178
桜ヶ丘公園,139.4584379,35.63766416,87.62000275,14.12788486,25
桜ヶ丘公園,139.4584392,35.63739375,91.31999969,8.57109642,39
桜ヶ丘公園,139.4584442,35.63631212,95.72000122,5.070403576,137
桜ヶ丘公園,139.458749,35.64199171,79.62000275,2.88634944,134
桜ヶ丘公園,139.4587578,35.64009886,81.01999664,0.376507908,112
